Size,Occupied,Price,Music,Location,VIP,FavoriteBeer,Enjoy
Large,High,Expensive,Loud,Talpiot,No,No,No
Large,High,Expensive,Loud,City-Center,Yes,No,Yes
Large,Moderate,Normal,Quiet,City-Center,No,Yes,Yes
Medium,Moderate,Expensive,Quiet,German-Colony,No,No,No
Large,Moderate,Expensive,Quiet,German-Colony,Yes,Yes,Yes
Small,Moderate,Normal,Quiet,Ein-Karem,No,No,Yes
Large,Low,Normal,Quiet,Ein-Karem,No,No,No
Small,Moderate,Cheap,Loud,Mahane-Yehuda,No,No,Yes
Medium,High,Expensive,Loud,City-Center,Yes,Yes,Yes
Medium,Low,Cheap,Quiet,City-Center,No,No,No
Large,Moderate,Cheap,Loud,Talpiot,No,Yes,No
Large,Low,Cheap,Quiet,Talpiot,Yes,Yes,No
Medium,Moderate,Expensive,Quiet,Mahane-Yehuda,No,Yes,Yes
Medium,High,Normal,Loud,Mahane-Yehuda,Yes,Yes,Yes
Large,Moderate,Normal,Loud,Ein-Karem,No,Yes,Yes
Small,High,Normal,Quiet,German-Colony,No,No,No
Large,High,Cheap,Loud,City-Center,No,Yes,Yes
Small,Low,Normal,Quiet,City-Center,No,No,No
Medium,Low,Expensive,Loud,Mahane-Yehuda,No,No,No
Medium,Moderate,Normal,Quiet,Talpiot,No,No,Yes
Medium,Low,Normal,Quiet,City-Center,No,No,Yes
